Aaron, Hank
Abagnale, Frank
Abbey, Edward
Abel, Reuben
Abelson, Hal
Abourezk, James
Abrams, Creighton
Ace, Jane
Acton, John (Lord Acton)
Adams, Abigail
Adams, Douglas
Adams, Henry
Adams, John
Adams, John Quincy
Adams, Samuel
Adams, Scott
Addams, Jane
Addison, Joseph
Adorno, Theodor
Adler, Alfred
Affleck, Ben
Agena, Keiko
Agnew, Spiro
Ahbez, Eden
Ahern, Bertie
Ah Koy, JamesAiken, Clay
Aiken, ConradAl-AtAlba, Jessica
Alberti, Leone Battista
Albom, Mitch
Alcott, Louisa MayAldiss, BrianAlexie, Shermanal-Sadr, Muqtada
al-Sahaf, Muhammed Saeed
Alfven, HannesAldrin, Buzz
Ali, Muhammad
Ali, Tariq
Allee, W. C.
Allen, Agnes
Allen, Fred
Allen, James
Allen, Steve
Allen, Woody
Allais, Alphonse
Allston, Aaron
Amaro, Rolim
Amiel, Barbara
Amis, Martin
Amos, Tori
Andersen, Hans Christian
Anderson, Beth
Anderson, Sparky
Andrians, Aiven
Andric, Ivo
Angell, Norman
Angelou, Maya
Anne, Princess Royal of the United Kingdom
Anthony, Piers
Anthony, Susan B.
Antoniou, Laura
Antunes, António Lobo
Apple, Fiona
Aquinas, Thomas
Arafat, Yasser
Araya, Tom
Arbuthnot, John
Armstrong, Edwin
Armstrong, Louis
Armstrong, Neil
Arp, Hans
Arslan, Alp
Ascham, Roger
Ashe, Arthur
Ashlag, Baruch
Ashlag, Yehuda
Asimov, Isaac
Attali, Jacques
Atatürk, Mustafa KemalAuAuden, Wystan Hugh
Audette, Derek R.Augustine, Norman Ralph
Austen, Jane
Austin, Alfred
Austin, J. L.
Austin, Stone Cold Steve
Baba, Meher
Baba, Tupeni
Babbage, Charles
Babbitt, Milton
Bacevich, Andrew
Bach, Richard
Bachelard, Gaston
Bachelot, Roselyne
Bacon, Francis
Baddiel, David
Baden-Powell, Sir Robert (B-P)
Badiou, Alain
Badnarik, Michael
Baez, Joan
Bagehot, WalterBailey, Philip James
Baillie, Bruce
Bainimarama, Frank
Baker, Jack
Baker, Russell
Bakhtiari, Marjaney
Bakunin, Mikhail
Ball, Hugo
Ballmer, Steve
Balzac, Honoré de
Bancroft, Anne
Bangs, Lester
Banhart, Devendra
Banks,Ernie
Banks, Robert
Banks, Tony (Lord Stratford)
Barbauld, Anna Letitia
Barclay, William
Barker, Clive
Barkley, Charles
Barlow, John Perry
Barnes, Jack
Barnes, Julian
Barrie, J. M.
Barry, Dave
Barry, Marion
Bartholin, Thomas V.
Baruch, Bernard
Barwich, Heinz
Bastiat, Frédéric
Batch, Charlie
Bathgate, Andy
Baudelaire, Charles
Baum, L. Frank
Bavadra, Timoci
Bayly, Thomas HaynesBe-BlBean, Roy
Beard, Charles A.Beck, Glenn
Becker, Carl
Beckett, Samuel
Beddoes, Mick
Beecher, Henry Ward
Beethoven, Ludwig van
Begin, Menachem
Bell, Alexander Graham
Belloc, Hilaire
Bellow, Saul
Benchley, RobertBenenson, Peter
Ben-Gurion, David
Benjamin, Walter
Benn, Tony
Bennett, William Andrew Cicil
Bennington, Chester
Benson, Leana
Bent, Silas
Bentsen, Lloyd
Berard, Edward V.
Berger, Ric
Bergman, George E.
Bergman, Ingmar
Berio, Luciano
Bergerac, Cyrano de
Berle, Milton
Berlin, Irving
Berne, Eric
Bernhard, Sandra
Berra, Yogi
Berry, Halle
Berry, Wendell
Bethea, Erin
Bevan, Aneurin
Bevel, Ken
Bibesco, Princess Elizabeth
Biden, Joseph
Bierce, Ambrose
Biko, Steve
Billings, Josh
Biondo, Frank
Birrell, AugustineBlair, Robert
Blair, Tony
Blake, William
Blakey, Art
Blalock, Jolene
Blanc, Mel
Blanc, Raymond
Blanchett, Cate
Blix, HansBoBoethius, Ancius
Bogart, Neil
Bohm, David
Bohr, Niels
Boileau-Despreaux, Nicholas
